date,ticker_a,ticker_b,hedge_ratio,adf_pvalue,is_cointegrated,half_life_days,open_z,close_z,signal,position,strategy_return_pct,spread_move_pct,pair_pnl_usd,ticker_a_return_pct,ticker_b_return_pct,spy_return_pct,excess_return_pct,logged_at
2026-07-28,ABT,MRK,-0.6639842518599832,0.3267367367340799,False,,1.9717965595400073,2.029701025176367,HOLD,-1,-0.5743323157245683,0.5743323157245683,-57.43323157245683,1.11226349882938,-0.7977103549390852,0.22592065702196074,-0.8002529727465291,2026-07-29T13:03:46+00:00
2026-07-28,ALL,TRV,0.7696597016092022,0.012549511427102705,True,8.598803705904226,-1.3886973004487237,-0.2789410839724457,NO_POSITION,0,0.0,2.9673959983231413,0.0,3.4833859174679516,0.5951341283396916,0.22592065702196074,-0.22592065702196074,2026-07-29T13:03:46+00:00
2026-07-28,DUK,SO,0.9418971641731009,0.14703093086481234,False,,1.1325462450149857,1.1923431327585081,HOLD,-1,-0.04727401507880202,0.04727401507880202,-4.727401507880202,-0.4467738394176468,-0.5242081729172621,0.22592065702196074,-0.27319467210076276,2026-07-29T13:03:46+00:00
2026-07-28,COST,PEP,0.31790586973450696,0.055926585543057857,False,,1.55384509999079,1.3411477058377226,NO_POSITION,0,0.0,-0.3320907916152471,0.0,-0.40904340353995483,-0.24440059151378257,0.22592065702196074,-0.22592065702196074,2026-07-29T13:03:46+00:00
2026-07-28,COP,SLB,0.6000972845251948,0.15407668582612344,False,,0.04639049050136279,0.12082474853156701,NO_POSITION,0,0.0,0.3062443219084443,0.0,-1.6294503185250941,-3.195819275118872,0.22592065702196074,-0.22592065702196074,2026-07-29T13:03:46+00:00
2026-07-29,ABT,MRK,-0.6596330082730837,0.32746938375878765,False,,1.8644813203936028,1.8593564541614302,HOLD,-1,0.05103400982653383,-0.05103400982653383,5.103400982653383,0.9628856385368811,-1.5184668587896244,-1.4203209787664872,1.471354988593021,2026-07-29T22:14:38+00:00
2026-07-29,ALL,TRV,0.7765044147622759,0.017493784951402816,True,8.844174803807709,-0.4389636928616227,0.5813991787713416,NO_POSITION,0,0.0,2.635857057534885,0.0,1.250927914552591,-1.7775478460622551,-1.4203209787664872,1.4203209787664872,2026-07-29T22:14:38+00:00
2026-07-29,DUK,SO,0.9434527947229409,0.15468925493122615,False,,1.0416767872529944,1.8677612656762625,HOLD,-1,-0.6924808913836067,0.6924808913836067,-69.24808913836067,-0.5163762381081405,-1.2745378272184027,-1.4203209787664872,0.7278400873828805,2026-07-29T22:14:38+00:00
2026-07-29,COST,PEP,0.31775194956209885,0.05770119701590327,False,,1.412734654075349,1.7713879078310446,NO_POSITION,0,0.0,0.5650205432956135,0.0,0.6156602236990993,0.1535463585828234,-1.4203209787664872,1.4203209787664872,2026-07-29T22:14:38+00:00
2026-07-29,COP,SLB,0.6009583852797442,0.17449910859244872,False,,0.6623363035951882,1.2102249855968972,NO_POSITION,0,0.0,2.2866508832409593,0.0,0.09326037575043689,-3.58408770889187,-1.4203209787664872,1.4203209787664872,2026-07-29T22:14:38+00:00
2026-07-30,ABT,MRK,-0.6557660131836063,0.28887246900081875,False,,1.406811837589022,1.4525064154130352,HOLD,-1,-0.43282381176315,0.43282381176315,-43.282381176315,-0.37732432583567066,1.2441872700082346,0.766254295492752,-1.199078107255902,2026-07-30T20:35:33+00:00
2026-07-30,ALL,TRV,0.7809541747974271,0.014322801174130753,True,8.718771047302566,0.1586371563841428,0.263802658082777,NO_POSITION,0,0.0,0.27327936875449765,0.0,-1.8165686880332266,-2.661350628234549,0.766254295492752,-0.766254295492752,2026-07-30T20:35:33+00:00
2026-07-30,DUK,SO,0.9406250279580473,0.11998973070912627,False,,0.5144572411491537,1.188334940096445,HOLD,-1,-0.546265192738904,0.546265192738904,-54.626519273890395,-2.2375402114445664,-2.9423875515906417,0.766254295492752,-1.312519488231656,2026-07-30T20:35:33+00:00
2026-07-30,COST,PEP,0.3295064720267482,0.058646934475720794,False,,0.8579807953358198,0.9454327288357132,NO_POSITION,0,0.0,0.11971285167167167,0.0,-0.09109515174270388,-0.6378519605542476,0.766254295492752,-0.766254295492752,2026-07-30T20:35:33+00:00
2026-07-30,COP,SLB,0.6017644814356663,0.1863195027239961,False,,0.6622955103774093,1.3464367009923708,NO_POSITION,0,0.0,2.8353607694159955,0.0,2.435457749895842,-0.7105125579513039,0.766254295492752,-0.766254295492752,2026-07-30T20:35:33+00:00
