trade_id,action,timestamp_utc,session_date,ticker_a,ticker_b,direction,conviction,hedge_ratio,price_a,price_b,zscore,notional,model_signal,model_agrees,rationale,council_summary
2026-07-28-ABTMRK-model,OPEN,2026-07-29T13:23:39+00:00,2026-07-28,ABT,MRK,SHORT_SPREAD,model,-0.5797152865123985,105.96499633789062,133.21499633789062,2.0514002348725717,10000.0,HOLD,False,"MODEL-DRIVEN (systematic, not discretionary). Engine event=HOLD, position=-1 at session open. z=+2.05 vs entry|2.0| exit|0.5| stop|3.0|; ADF p=0.0101, half-life=17.6d, beta=-0.580. No discretionary override applied - recording exactly what the model says so today's P&L grades THE MODEL.",N/A - model-only track; council advisory only
2026-07-28-ALLTRV-model,OPEN,2026-07-29T13:23:39+00:00,2026-07-28,ALL,TRV,FLAT,model,0.7729012736027105,263.9049987792969,393.7950134277344,-0.29819141111019143,10000.0,NO_POSITION,True,"MODEL-DRIVEN (systematic, not discretionary). Engine event=NO_POSITION, position=+0 at session open. z=-0.30 vs entry|2.0| exit|0.5| stop|3.0|; ADF p=0.0043, half-life=11.6d, beta=+0.773. No discretionary override applied - recording exactly what the model says so today's P&L grades THE MODEL.",N/A - model-only track; council advisory only
2026-07-28-DUKSO-model,OPEN,2026-07-29T13:23:39+00:00,2026-07-28,DUK,SO,FLAT,model,0.9907607392642125,130.10000610351562,97.31999969482422,1.0910960616335923,10000.0,NO_POSITION,True,"MODEL-DRIVEN (systematic, not discretionary). Engine event=NO_POSITION, position=+0 at session open. z=+1.09 vs entry|2.0| exit|0.5| stop|3.0|; ADF p=0.0102, half-life=18.6d, beta=+0.991. No discretionary override applied - recording exactly what the model says so today's P&L grades THE MODEL.",N/A - model-only track; council advisory only
2026-07-28-COSTPEP-model,OPEN,2026-07-29T13:23:39+00:00,2026-07-28,COST,PEP,FLAT,model,-0.6414225741724899,973.546875,143.70010375976562,1.1844008488906839,10000.0,NO_POSITION,True,"MODEL-DRIVEN (systematic, not discretionary). Engine event=NO_POSITION, position=+0 at session open. z=+1.18 vs entry|2.0| exit|0.5| stop|3.0|; ADF p=0.0382, half-life=30.0d, beta=-0.641. No discretionary override applied - recording exactly what the model says so today's P&L grades THE MODEL.",N/A - model-only track; council advisory only
2026-07-28-COPSLB-model,OPEN,2026-07-29T13:23:39+00:00,2026-07-28,COP,SLB,FLAT,model,0.6482219298791282,115.83999633789062,51.59000015258789,0.06825494129650503,10000.0,NO_POSITION,True,"MODEL-DRIVEN (systematic, not discretionary). Engine event=NO_POSITION, position=+0 at session open. z=+0.07 vs entry|2.0| exit|0.5| stop|3.0|; ADF p=0.0047, half-life=16.4d, beta=+0.648. No discretionary override applied - recording exactly what the model says so today's P&L grades THE MODEL.",N/A - model-only track; council advisory only
2026-07-28-ABTMRK-model,CLOSE,2026-07-29T13:25:56+00:00,2026-07-28,ABT,MRK,SHORT_SPREAD,model,-0.5797152865123985,105.96499633789062,133.21499633789062,2.051400234872572,10000.0,HOLD,False,"VOID - reversing entry. These rows were written from a FLAWED snapshot: (1) generated WITHOUT the event-exclusion gate, and 2026-07-29 is an FOMC blackout date so the real gated engine refuses new entries 07-28..07-30; (2) stamped session 2026-07-28 using the prior completed session's prices, not today's open. Closed at the entry price so P&L is exactly 0. Nothing deleted - the erroneous rows remain in the log above this line.","Council 3-0 NO TRADE (statistical, risk, skeptic) - see implementation log"
2026-07-28-ALLTRV-model,CLOSE,2026-07-29T13:25:56+00:00,2026-07-28,ALL,TRV,FLAT,model,0.7729012736027105,263.9049987792969,393.7950134277344,-0.2981914111101914,10000.0,NO_POSITION,True,"VOID - reversing entry. These rows were written from a FLAWED snapshot: (1) generated WITHOUT the event-exclusion gate, and 2026-07-29 is an FOMC blackout date so the real gated engine refuses new entries 07-28..07-30; (2) stamped session 2026-07-28 using the prior completed session's prices, not today's open. Closed at the entry price so P&L is exactly 0. Nothing deleted - the erroneous rows remain in the log above this line.","Council 3-0 NO TRADE (statistical, risk, skeptic) - see implementation log"
2026-07-28-DUKSO-model,CLOSE,2026-07-29T13:25:56+00:00,2026-07-28,DUK,SO,FLAT,model,0.9907607392642124,130.10000610351562,97.31999969482422,1.0910960616335923,10000.0,NO_POSITION,True,"VOID - reversing entry. These rows were written from a FLAWED snapshot: (1) generated WITHOUT the event-exclusion gate, and 2026-07-29 is an FOMC blackout date so the real gated engine refuses new entries 07-28..07-30; (2) stamped session 2026-07-28 using the prior completed session's prices, not today's open. Closed at the entry price so P&L is exactly 0. Nothing deleted - the erroneous rows remain in the log above this line.","Council 3-0 NO TRADE (statistical, risk, skeptic) - see implementation log"
2026-07-28-COSTPEP-model,CLOSE,2026-07-29T13:25:56+00:00,2026-07-28,COST,PEP,FLAT,model,-0.6414225741724899,973.546875,143.70010375976562,1.184400848890684,10000.0,NO_POSITION,True,"VOID - reversing entry. These rows were written from a FLAWED snapshot: (1) generated WITHOUT the event-exclusion gate, and 2026-07-29 is an FOMC blackout date so the real gated engine refuses new entries 07-28..07-30; (2) stamped session 2026-07-28 using the prior completed session's prices, not today's open. Closed at the entry price so P&L is exactly 0. Nothing deleted - the erroneous rows remain in the log above this line.","Council 3-0 NO TRADE (statistical, risk, skeptic) - see implementation log"
2026-07-28-COPSLB-model,CLOSE,2026-07-29T13:25:56+00:00,2026-07-28,COP,SLB,FLAT,model,0.6482219298791282,115.83999633789062,51.59000015258789,0.068254941296505,10000.0,NO_POSITION,True,"VOID - reversing entry. These rows were written from a FLAWED snapshot: (1) generated WITHOUT the event-exclusion gate, and 2026-07-29 is an FOMC blackout date so the real gated engine refuses new entries 07-28..07-30; (2) stamped session 2026-07-28 using the prior completed session's prices, not today's open. Closed at the entry price so P&L is exactly 0. Nothing deleted - the erroneous rows remain in the log above this line.","Council 3-0 NO TRADE (statistical, risk, skeptic) - see implementation log"
