pair,a,b,eg_p,beta,hl
FNV/WPM,FNV,WPM,0.0006844971492191356,0.7636758521502387,8.186952870185857
APA/FANG,APA,FANG,0.0007651241976991046,1.5682315920302612,6.491415221250594
EPD/OKE,EPD,OKE,0.0016785049813804397,0.8572980175922411,5.37311845046598
EXC/PCG,EXC,PCG,0.004328323704610402,0.5691965918003075,5.252216716176947
EMR/PCAR,EMR,PCAR,0.00785757100246181,0.4145547464448827,5.485029201844004
OKE/TRGP,OKE,TRGP,0.012239626006404592,0.5331884767209447,6.804550328903634
AVGO/NVDA,AVGO,NVDA,0.012372036074402112,1.213195130880556,6.5528620112659945
JNJ/MRK,JNJ,MRK,0.013034858903577516,0.7916071555597148,6.4166885253656
PEG/WEC,PEG,WEC,0.013993638602374323,0.26844956224651445,6.901311798543829
AU/NEM,AU,NEM,0.014796952277303594,1.222028278024121,6.519828957181233
EPD/TRGP,EPD,TRGP,0.015063867049277422,0.47068029298381764,6.470215858639372
ANET/HPE,ANET,HPE,0.016832124488768623,0.2968328492313692,6.479358707530137
ADBE/CRM,ADBE,CRM,0.017777765830064168,1.078720952764425,6.628026722632549
BJ/COST,BJ,COST,0.018491967096327163,0.36254176886106226,8.1212728171268
BKNG/DASH,BKNG,DASH,0.020332739202591748,0.5317765381071959,6.532375386420553
ANET/NTAP,ANET,NTAP,0.02227159135430017,0.4545728123379771,7.039047462189566
CHD/CL,CHD,CL,0.024598133449999136,0.8336566236186168,6.826428353796931
HLT/MAR,HLT,MAR,0.025034988202844402,0.6430033645401028,7.060229181944968
PSA/SPG,PSA,SPG,0.026311830434736068,0.6061787786340999,14.44278316949613
SRE/XEL,SRE,XEL,0.035435725251205835,1.0184188247067825,7.30746513394459
PSX/VLO,PSX,VLO,0.03809521432617004,0.681227734238341,9.333756618834613
NEM/WPM,NEM,WPM,0.03843720937175895,1.093829341167059,11.230857293261032
ROST/TGT,ROST,TGT,0.038926326372509326,0.9479796440823456,11.042793160729335
GD/RTX,GD,RTX,0.0423677545910869,0.449832278164031,7.871101917450915
APD/LIN,APD,LIN,0.04402256629679874,0.7894977023598215,8.06288827153694
KDP/MNST,KDP,MNST,0.04501616806790682,0.27279085232768585,14.451421911050563
AMGN/VRTX,AMGN,VRTX,0.04572073466375225,1.21490526534609,7.613115995286694
GOLD/WPM,GOLD,WPM,0.04682206185748381,1.726986672034129,12.016179778354328
ES/PCG,ES,PCG,0.04786812964371669,0.6069409866805631,9.221365910220516
EMR/PH,EMR,PH,0.04864205765828473,0.40429314085670576,7.475193247779073
PCAR/PH,PCAR,PH,0.04904530155840593,0.9951396639752055,6.621067972612751
FITB/RF,FITB,RF,0.049237781331921825,1.2814913038780227,8.42742435740171
FNV/GOLD,FNV,GOLD,0.04951931500672057,0.34373330333270213,10.505912296735621
PNC/RF,PNC,RF,0.04981945601206516,1.2180262247759022,5.645511775561279
